systemName;route;banner;groupName;roots
irlie;CorkInt;;Dublin - Cork InterCity;irl.corkint
irlie;GalInt;;Dublin - Galway InterCity;irl.galint
irlie;LimInt;;Dublin - Limerick InterCity;irl.limint
irlie;MayoInt;;Dublin - Mayo InterCity;irl.mayoint
irlie;SliInt;;Dublin - Sligo InterCity;irl.sliint
irlie;WatInt;;Dublin - Waterford InterCity;irl.watint
irlie;WexInt;;Dublin - Wexford InterCity;irl.wexint
irlie;LimGalLn;;Limerick - Galway InterCity;irl.limgalln
irlie;TraInt;;Mallow - Tralee InterCity;irl.traint
irlie;ManBalLn;;Manulla Junction - Ballina InterCity;irl.manballn
irlie;LimBalLn;;Limerick - Ballybrophy InterCity;irl.limballn
irlie;LimWatLn;;Limerick Junction - Waterford InterCity;irl.limwatln
irlie;CorkCom;;Cork Commuter (Cobh);irl.corkcom
irlie;CorkCom;;Cork Commuter (Midleton);irl.corkcommid
irlie;NorCom;;Dublin Northern Commuter;irl.norcom
irlie;SouCom;;Dublin Southwestern Commuter (Grand Canal Dock);irl.soucomgcd
irlie;SouCom;;Dublin Southwestern Commuter (Heuston);irl.soucom
irlie;WesCom;;Dublin Western Commuter (Maynooth);irl.wescom
irlie;WesCom;;Dublin Western Commuter (M3 Parkway);irl.wescomm3p
irlie;DART;;Dublin Area Rapid Transit (Malahide);irl.dart
irlie;DART;;Dublin Area Rapid Transit (Howth);irl.darthow
