systemName;route;banner;groupName;roots
roubt;1;;București (2023);rou.01buc
roubt;3;;București (2023);rou.03buc
roubt;5;;București (2023);rou.05buc
roubt;7;;București (2023);rou.07buc
roubt;10;;București (2023);rou.10buc
roubt;11;;București (2023);rou.11buc
roubt;12;;București (2023);rou.12buc
roubt;14;;București (2023);rou.14buc
roubt;16;;București (2023);rou.16buc
roubt;19;;București (2023);rou.19buc
roubt;21;;București (2023);rou.21buc
roubt;23;;București (2023);rou.23buc
roubt;24;;București (2023);rou.24buc
roubt;25;;București (2023);rou.25buc
roubt;27;;București (2023);rou.27buc
roubt;32;;București (2023);rou.32buc
roubt;36;;București (2023);rou.36buc
roubt;40;;București (2023);rou.40buc
roubt;41;;București (2023);rou.41buc
roubt;44;;București (2023);rou.44buc
roubt;45;;București (2023);rou.45buc
roubt;46;;București (2023);rou.46buc
roubt;47;;București (2023);rou.47buc
roubt;55;;București (2023);rou.55buc
