systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnrksi;JPN;Skyliner;;;Keisei Skyliner;jpn.ksiskyliner;
jpnrksi;JPN;AccExpHaneda;;;Keisei Access Express Haneda;jpn.ksiaccesshaneda;
jpnrksi;JPN;AccExpUeno;;;Keisei Access Express Ueno;jpn.ksiaccessueno;
jpnrksi;JPN;Morningliner;;;Keisei Morningliner / Eveningliner;jpn.ksimorningliner;
jpnrksi;JPN;ChibaLn;;;Keisei Chiba Line;jpn.ksichiba;
jpnrksi;JPN;ChiharaLn;;;Keisei Chihara Line;jpn.ksichihara;
jpnrksi;JPN;HigaNaritaLn;;;Keisei Higashi Narita Line;jpn.ksihigashinarita;
jpnrksi;JPN;HokusoLn;;;Keisei Hokuso Line;jpn.ksihokuso;
jpnrksi;JPN;KanamachiLn;;;Keisei Kanamachi Line;jpn.ksikanamachi;
jpnrksi;JPN;KeiseiMainLn;;;Keisei Main Line;jpn.ksimain;
jpnrksi;JPN;NaritaAptLn;;;Keisei Narita Airport Line;jpn.ksinaritaairport;
jpnrksi;JPN;OshiageLn;;;Keisei Oshiage Line;jpn.ksioshiage;
jpnrksi;JPN;ShinKeiseiLn;;;Keisei Shin Keisei Line;jpn.ksishinkeisei;
