systemName;region;route;banner;abbrev;city;root;altRouteNames
chngdszm;CHN-GD;1;;SZM;Shenzhen Metro Line 1;chngd.szm01;SZMLn1
chngdszm;CHN-GD;2;;SZM;Shenzhen Metro Line 2;chngd.szm02;SZMLn2
chngdszm;CHN-GD;3;;SZM;Shenzhen Metro Line 3;chngd.szm03;SZMLn3
chngdszm;CHN-GD;4;;SZM;Shenzhen Metro Line 4;chngd.szm04;SZMLn4
chngdszm;CHN-GD;5;;SZM;Shenzhen Metro Line 5;chngd.szm05;SZMLn5
chngdszm;CHN-GD;6;;SZM;Shenzhen Metro Line 6;chngd.szm06;SZMLn6
chngdszm;CHN-GD;6;Bra;SZM;Shenzhen Metro Line 6 (Branch);chngd.szm06b;SZMLn6Bra
chngdszm;CHN-GD;7;;SZM;Shenzhen Metro Line 7;chngd.szm07;SZMLn7
chngdszm;CHN-GD;8;;SZM;Shenzhen Metro Line 8;chngd.szm08;SZMLn8
chngdszm;CHN-GD;9;;SZM;Shenzhen Metro Line 9;chngd.szm09;SZMLn9
chngdszm;CHN-GD;10;;SZM;Shenzhen Metro Line 10;chngd.szm10;SZMLn10
chngdszm;CHN-GD;11;;SZM;Shenzhen Metro Line 11;chngd.szm11;SZMLn11
chngdszm;CHN-GD;12;;SZM;Shenzhen Metro Line 12;chngd.szm12;SZMLn12
chngdszm;CHN-GD;13;;SZM;Shenzhen Metro Line 13;chngd.szm13;SZMLn13
chngdszm;CHN-GD;14;;SZM;Shenzhen Metro Line 14;chngd.szm14;SZMLn14
chngdszm;CHN-GD;16;;SZM;Shenzhen Metro Line 16;chngd.szm16;SZMLn16
chngdszm;CHN-GD;20;;SZM;Shenzhen Metro Line 20;chngd.szm20;SZMLn20
