systemName;region;route;banner;abbrev;city;root;altRouteNames
chnbjs;CHN-BJ;1;;;Beijing Subway Line 1;chnbj.bjs01;
chnbjs;CHN-BJ;2;;;Beijing Subway Line 2;chnbj.bjs02;
chnbjs;CHN-BJ;3;;;Beijing Subway Line 3;chnbj.bjs03;
chnbjs;CHN-BJ;4;;;Beijing Subway Line 4;chnbj.bjs04;
chnbjs;CHN-BJ;5;;;Beijing Subway Line 5;chnbj.bjs05;
chnbjs;CHN-BJ;6;;;Beijing Subway Line 6;chnbj.bjs06;
chnbjs;CHN-BJ;7;;;Beijing Subway Line 7;chnbj.bjs07;
chnbjs;CHN-BJ;8;;;Beijing Subway Line 8;chnbj.bjs08;
chnbjs;CHN-BJ;9;;;Beijing Subway Line 9;chnbj.bjs09;
chnbjs;CHN-BJ;10;;;Beijing Subway Line 10;chnbj.bjs10;
chnbjs;CHN-BJ;11;;;Beijing Subway Line 11;chnbj.bjs11;
chnbjs;CHN-BJ;12;;;Beijing Subway Line 12;chnbj.bjs12;
chnbjs;CHN-BJ;13;;;Beijing Subway Line 13;chnbj.bjs13;
chnbjs;CHN-BJ;14;;;Beijing Subway Line 14;chnbj.bjs14;
chnbjs;CHN-BJ;15;;;Beijing Subway Line 15;chnbj.bjs15;
chnbjs;CHN-BJ;16;;;Beijing Subway Line 16;chnbj.bjs16;
chnbjs;CHN-BJ;17;;;Beijing Subway Line 17;chnbj.bjs17;
chnbjs;CHN-BJ;18;;;Beijing Subway Line 18;chnbj.bjs18;
chnbjs;CHN-BJ;19;;;Beijing Subway Line 19;chnbj.bjs19;
chnbjs;CHN-BJ;YizhuangLn;;;Beijing Subway Yizhuang Line;chnbj.yizhuang;
chnbjs;CHN-BJ;BatongLn;;;Beijing Subway Batong Line;chnbj.batong;
chnbjs;CHN-BJ;ChangpingLn;;;Beijing Subway Changping Line;chnbj.changping;
chnbjs;CHN-BJ;FangshanLn;;;Beijing Subway Fangshan Line;chnbj.fangshan;
chnbjs;CHN-BJ;S1;;;Beijing Subway S1 Line;chnbj.s1;
chnbjs;CHN-BJ;DaxingLn;;;Beijing Subway Daxing Line;chnbj.daxing;
chnbjs;CHN-BJ;YanfangLn;;;Beijing Subway Yanfang Line;chnbj.yanfang;
chnbjs;CHN-BJ;CapAirExp;;;Beijing Subway Capital Airport Express;chnbj.capairexp;
chnbjs;CHN-BJ;DaxingAirExp;;;Beijing Subway Daxing Airport Express;chnbj.daxingair;
chnbjs;CHN-HE;DaxingAirExp;;;Beijing Subway Daxing Airport Express;chnhe.daxingair;
