systemName;region;route;banner;abbrev;city;root;altRouteNames
deubt;DEU-BE;M1;;;Berlin;deube.m01;
deubt;DEU-BE;M1;;Nie;Niederschönhausen, Berlin;deube.m01nei;
deubt;DEU-BE;M2;;;Berlin;deube.m02;
deubt;DEU-BE;M3;;;Berlin;deube.m04;
deubt;DEU-BE;M4;;Hoh;Hohenschoenhausen, Berlin;deube.m04hoh;
deubt;DEU-BE;M5;;;Berlin;deube.m05;
deubt;DEU-BE;M6;;;Berlin;deube.m06;
deubt;DEU-BE;M8;;;Berlin;deube.m08;
deubt;DEU-BE;M10;;;Berlin;deube.m10;
deubt;DEU-BE;12;;Ber;Berlin;deube.12ber;
deubt;DEU-BE;M13;;;Berlin;deube.m13;
deubt;DEU-BE;16;;Ber;Berlin;deube.16ber;
deubt;DEU-BE;M17;;;Berlin;deube.m17;
deubt;DEU-BE;18;;Ber;Berlin;deube.18ber;
deubt;DEU-BE;21;;Ber;Berlin;deube.21ber;
deubt;DEU-BE;27;;Ber;Berlin;deube.27ber;
deubt;DEU-BE;37;;Ber;Berlin;deube.37ber;
deubt;DEU-BE;50;;Ber;Berlin;deube.50ber;
deubt;DEU-BE;60;;Ber;Berlin;deube.60ber;
deubt;DEU-BE;61;;Ber;Berlin;deube.61ber;
deubt;DEU-BE;62;;Ber;Berlin;deube.62ber;
deubt;DEU-BE;63;;Ber;Berlin;deube.63ber;
deubt;DEU-BE;67;;Ber;Berlin;deube.67ber;
deubt;DEU-BE;68;;Ber;Berlin;deube.68ber;
deubt;DEU-BE;87;;Wol;Woltersdorf;deube.87wol;
deubt;DEU-BB;87;;Wol;Woltersdorf;deubb.87wol;
deubt;DEU-BE;88;;Sch;Schöneiche bei Berlin;deube.88sch;
deubt;DEU-BB;88;;Sch;Schöneiche bei Berlin;deubb.88sch;
deubt;DEU-BB;89;;Str;Strausberg;deubb.89str;
deubt;DEU-BB;91;;Pot;Potsdam;deubb.91pot;
deubt;DEU-BB;91;;Cha;Charlottenhof, Potsdam;deubb.91cha;
deubt;DEU-BB;92;;Pot;Potsdam;deubb.92pot;
deubt;DEU-BB;93;;Pot;Potsdam;deubb.93pot;
deubt;DEU-BB;94;;Pot;Potsdam;deubb.94pot;
deubt;DEU-BB;96;;Pot;Potsdam;deubb.96pot;
deubt;DEU-BB;98;;Pot;Potsdam;deubb.98pot;
deubt;DEU-BB;99;;Pot;Potsdam;deubb.99pot;
