systemName;region;route;banner;abbrev;city;root;altRouteNames
roubt;ROU;1;;Buc;București (2023);rou.01buc;
roubt;ROU;3;;Buc;București (2023);rou.03buc;
roubt;ROU;5;;Buc;București (2023);rou.05buc;
roubt;ROU;7;;Buc;București (2023);rou.07buc;
roubt;ROU;10;;Buc;București (2023);rou.10buc;
roubt;ROU;11;;Buc;București (2023);rou.11buc;
roubt;ROU;12;;Buc;București (2023);rou.12buc;
roubt;ROU;14;;Buc;București (2023);rou.14buc;
roubt;ROU;16;;Buc;București (2023);rou.16buc;
roubt;ROU;19;;Buc;București (2023);rou.19buc;
roubt;ROU;21;;Buc;București (2023);rou.21buc;
roubt;ROU;23;;Buc;București (2023);rou.23buc;
roubt;ROU;24;;Buc;București (2023);rou.24buc;
roubt;ROU;25;;Buc;București (2023);rou.25buc;
roubt;ROU;27;;Buc;București (2023);rou.27buc;
