systemName;region;route;banner;abbrev;city;root;altRouteNames
pollt;POL;2A;;Lod;;pol.2alod;
pollt;POL;2B;;Lod;;pol.2blod;
pollt;POL;3A;;Lod;;pol.3alod;
pollt;POL;3B;;Lod;;pol.3blod;
pollt;POL;6;;Lod;;pol.06lod;
pollt;POL;7;;Lod;;pol.07lod;
pollt;POL;8A;;Lod;;pol.8alod;
pollt;POL;8B;;Lod;;pol.8blod;
pollt;POL;9;;Lod;;pol.09lod;
pollt;POL;10A;;Lod;;pol.10alod;
pollt;POL;10B;;Lod;;pol.10blod;
pollt;POL;11;;Lod;;pol.11lod;
pollt;POL;12;;Lod;;pol.12lod;
pollt;POL;15;;Lod;;pol.15lod;
pollt;POL;16;;Lod;;pol.16lod;
pollt;POL;17;;Lod;;pol.17lod;
pollt;POL;18;;Lod;;pol.18lod;
pollt;POL;19;;Lod;;pol.19lod;
