systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnaw;WLS;MarLn;;;Marches Line (Cardiff);wls.marln;
gbnaw;ENG;MarLn;;Wal;Marches Line (Walterstone);eng.marlnwal;
gbnaw;WLS;MarLn;;Lla;Marches Line (Llangua);wls.marlnlla;
gbnaw;ENG;MarLn;;Lla;Marches Line (Llangua);eng.marlnlla;
gbnaw;WLS;MarLn;;Mon;Marches Line (Monmouth Cap);wls.marlnmon;
gbnaw;ENG;MarLn;;;Marches Line (Crewe);eng.marln;
gbnaw;WLS;NWSW;;;North Wales - South Wales (Bangor);wls.nwsw;
gbnaw;ENG;NWSW;;Che;North Wales - South Wales (Chester);eng.nwswche;
gbnaw;WLS;NWSW;;Wre;North Wales - South Wales (Wrecsam);wls.nwswwre;
gbnaw;ENG;NWSW;;;North Wales - South Wales (Shrewsbury);eng.nwsw;
gbnaw;WLS;NWSW;;Mon;North Wales - South Wales (Monmouth Cap);wls.nwswmon;
gbnaw;ENG;NWSW;;Lla;North Wales - South Wales (Llangua);eng.nwswlla;
gbnaw;WLS;NWSW;;Lla;North Wales - South Wales (Llangua);wls.nwswlla;
gbnaw;ENG;NWSW;;Wal;North Wales - South Wales (Walterstone);eng.nwswwal;
gbnaw;WLS;NWSW;;Car;North Wales - South Wales (Cardiff);wls.nwswcar;
gbnaw;ENG;NWCLn;;;North Wales Coast Line (Shrewsbury);eng.nwcln;
gbnaw;WLS;NWCLn;;Wre;North Wales Coast Line (Wrecsam);wls.nwclnwre;
gbnaw;ENG;NWCLn;;Che;North Wales Coast Line (Chester);eng.nwclnche;
gbnaw;WLS;NWCLn;;;North Wales Coast Line (Bangor);wls.nwcln;
gbnaw;ENG;CamLn;;;Cambrian Line;eng.camln;
gbnaw;WLS;CamLn;;;Cambrian Line;wls.camln;
gbnaw;WLS;LlaManLn;;;Llandudno - Manchester Line;wls.llamanln;
gbnaw;ENG;LlaManLn;;;Llandudno - Manchester Line;eng.llamanln;
gbnaw;ENG;LivWreLn;;;Liverpool - Wrescam Line;eng.livwreln;
gbnaw;ENG;CheCreLn;;;Chester - Crewe Line;eng.checreln;
gbnaw;WLS;CamCoaLn;;;Cambrian Coast Line;wls.camcoaln;
gbnaw;WLS;WWalLn;;;West Wales Line (Milford Haven);wls.wwalln;
gbnaw;WLS;WWalLn;;Fis;West Wales Line (Fishguard);wls.wwallnfis;
gbnaw;WLS;WWalLn;;Pem;West Wales Line (Pembroke Dock);wls.wwallnpem;SwanLn
gbnaw;ENG;SevShoLn;;;Severn Shores Line;eng.sevsholn;
gbnaw;WLS;SevShoLn;;;Severn Shores Line;wls.sevsholn;
gbnaw;WLS;ConVlyLn;;;Conwy Valley Line;wls.convlyln;
gbnaw;ENG;BorLn;;;Borderlands Line;eng.borln;
gbnaw;WLS;BorLn;;;Borderlands Line;wls.borln;
gbnaw;ENG;HeaWalLn;;;Heart of Wales Line;eng.heawalln;
gbnaw;WLS;HeaWalLn;;;Heart of Wales Line;wls.heawalln;
gbnaw;WLS;MaeLn;;;Maesteg Line;wls.maeln;
gbnaw;WLS;EbbwValeLn;;;Ebbw Vale Line (Cardiff);wls.ebbwvaleln;
gbnaw;WLS;EbbwValeLn;;New;Ebbw Vale Line (Newport);wls.ebbwvalelnnew;
gbnaw;WLS;AbeLn;;;Aberdare Line;wls.abeln;
gbnaw;WLS;ButBra;;;Butetown Branch;wls.butbra;
gbnaw;WLS;CorLn;;;Coryton Line;wls.corln;
gbnaw;WLS;MerLn;;;Merthyr Line;wls.merln;
gbnaw;WLS;PenLn;;;Penarth Line;wls.penln;
gbnaw;WLS;RhoLn;;;Rhondda Line;wls.rholn;
gbnaw;WLS;RhyLn;;;Rhymney Line;wls.rhyln;
gbnaw;WLS;ValeGlaLn;;;Vale of Glamorgan Line;wls.valeglaln;
