systemName;route;banner;groupName;roots
eurat;AeriMon;;;Aeri de Montserrat;espct.aerimon
eurat;ATCC;;Alton Towers Cable Car;eng.atcc
eurat;TelMon;;Barcelona Telefèric de Montjuïc;espct.telmon
eurat;TelPort;;Barcelona Telefèric del Port;espct.telport
eurat;TC;;Brest Téléphérique 'Ligne C';frabre.tc
eurat;F;;Funivie di Castellammare 'Del Faito';itacam.f
eurat;DICC;;Dursey Island Cable Car;irl.dicc
eurat;GibCC;;Gibraltar Cable Car;gib.gibcc
eurat;TGB;;Téléphérique de Grenoble Bastille 'Les bulles';fraara.tgb
eurat;HeiAbrCC;;Heights of Abraham Cable Car;eng.heiabrcc
eurat;LlaCC;;Llandudno Cable Car;wls.llacc
eurat;LCC;;London Cable Car;eng.lcc
eurat;NeeCha;;Needles Chairlift;eng.neecha
eurat;Teleo;;Toulouse Téléphérique urbain 'Téléo';fraocc.teleo
